id;factoid;r0;r1;r2;r3;r4;duplicate
1;3;3;3;3;3;3;0
2;3;3;3;3;1;3;0
3;2;2;3;3;1;3;0
4;3;3;3;3;1;3;0
5;3;3;3;3;1;3;0
6;3;3;3;3;1;3;0
7;3;3;3;3;1;3;0
8;3;3;3;3;2;3;0
9;3;3;3;3;1;2;0
10;3;3;3;3;1;3;0
11;3;3;3;3;3;3;0
12;3;3;3;3;2;3;0
13;3;3;2;3;2;3;0
14;3;3;3;3;2;3;0
15;3;3;2;3;3;3;0
16;3;3;3;3;3;3;0
17;3;3;3;3;3;3;0
18;2;2;2;3;3;2;0
19;3;3;3;3;2;3;0
20;3;3;3;3;2;3;0
21;3;3;3;3;1;3;0
22;1;1;3;1;3;2;0
23;3;3;3;3;1;3;0
24;1;1;3;3;1;3;0
25;3;3;3;3;1;3;0
26;3;3;3;3;1;3;0
27;3;3;3;3;1;3;1
28;3;3;3;3;2;3;0
29;3;3;3;3;1;3;0
30;2;2;3;3;2;3;1
31;3;3;3;3;1;3;0
32;3;3;3;3;1;3;0
33;3;3;3;3;1;3;0
34;1;1;3;1;3;2;1
35;3;3;3;3;1;3;1
36;3;3;3;3;1;3;1
37;3;3;3;3;1;3;1
38;3;3;3;3;1;3;1
39;2;2;3;3;1;3;1
40;3;3;3;3;1;3;1
41;3;3;3;3;2;3;0
42;2;2;3;3;1;3;0
43;2;2;3;3;3;3;0
44;3;3;3;3;1;3;0
45;3;3;3;3;1;3;0
46;3;3;3;3;2;3;1
47;3;3;3;3;1;3;1
48;3;3;3;3;1;3;1
49;3;3;3;3;1;3;1
50;3;3;3;3;1;3;1
51;3;3;3;3;1;3;1
52;3;3;3;3;1;3;1
53;3;3;3;3;1;3;1
54;3;3;3;3;1;3;1
55;3;3;3;3;2;3;1
56;3;3;3;3;1;3;1
57;3;3;3;3;1;3;1
58;3;3;3;3;2;3;1
59;3;3;3;3;1;3;1
60;3;3;3;3;1;3;1
61;3;3;3;3;1;3;0
62;3;3;3;3;1;3;0
63;3;3;3;3;2;3;0
64;3;3;3;3;1;3;0
65;3;3;3;3;2;3;0
66;1;1;3;2;2;3;0
67;3;3;3;3;1;3;0
68;3;3;3;3;1;3;0
69;3;3;3;3;1;3;1
70;3;3;3;3;2;3;1
71;1;1;3;2;2;3;1
72;3;3;3;2;2;3;1
73;3;3;3;3;1;3;1
74;3;3;3;3;1;3;1
75;3;3;3;3;2;3;1